"iter","auRC.RForest","auRC.NPDR","auRC.Relief"
1,0.5245,0.8455,0.6095
2,0.2705,0.6115,0.7155
3,0.3685,0.7325,0.9095
4,0.417,0.904,0.761
5,0.7045,0.948,0.9495
6,0.407,0.5545,0.239
7,0.425,0.928,0.7655
8,0.3065,0.5535,0.5205
9,0.855,0.7225,0.6585
10,0.761761761761762,0.778278278278278,0.956456456456456
11,0.661,0.5275,0.7325
12,0.9265,0.947,0.715
13,0.287,0.88,0.7125
14,0.188688688688689,0.495495495495495,0.413413413413413
15,0.4785,0.6625,0.554
16,0.7095,0.9895,0.8755
17,0.21,0.696,0.7095
18,0.255,0.6475,0.573
19,0.5955,0.7725,0.867
20,0.6865,0.949,0.747
21,0.692,0.8805,0.8655
22,0.2075,0.785,0.73
23,0.521021021021021,0.452452452452452,0.477477477477477
24,0.0905,0.8705,0.3805
25,0.956,0.8125,0.8505
26,0.5335,0.893,0.569
27,0.9885,0.7355,0.9065
28,0.7175,0.885,0.814
29,0.662,0.9005,0.919
30,0.247,0.4915,0.4685
